 "albumid","album_title","artistid","artist_name","trackid","track_name","track_composer","track_milliseconds","track_bytes","track_unit_price","genreid","music_genre","mediatypeid","media_type","invoicelineid","invoice_line_unit_price","invoice_line_quantity","invoice_line_total","invoiceid","invoice_date","invoice_billing_address","invoice_billing_city","invoice_billing_country","invoice_billing_postal_code","invoice_billing_state","invoice_total","customerid","customer_first_name","customer_last_name","customer_company","customer_address","customer_city","customer_state","customer_country","customer_postal_code","customer_phone","customer_fax","customer_email","employee_first_name","employee_last_name","employee_title","employee_reports_to","employee_birth_date","employee_hire_date","employee_address","employee_city","employee_state","employee_country","employee_postal_code","employee_phone","employee_fax","employee_email"
5,Big Ones,3,Aerosmith,32,Deuces Are Wild,"Steven Tyler, Jim Vallance","215,875","7,074,167",0.99,1,Rock,1,MPEG audio file,11,0.99,1,0.99,3,2009-01-03 00:00:00,Gratrystraat 63,Brussels,Belgium,"1000",,5.94,8,Daa,Peeters,,Gratrystraat 63,Brussels,,Belgium,"1000",+32 02 219 03 03,,daan_peeters@apple.be,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
5,Big Ones,3,Aerosmith,28,Janie's Got A Gu,"Steven Tyler, Tom Hamilto","330,736","10,869,391",0.99,1,Rock,1,MPEG audio file,10,0.99,1,0.99,3,2009-01-03 00:00:00,Gratrystraat 63,Brussels,Belgium,"1000",,5.94,8,Daa,Peeters,,Gratrystraat 63,Brussels,,Belgium,"1000",+32 02 219 03 03,,daan_peeters@apple.be,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
6,Jagged Little Pill,4,Alanis Morissette,48,Not The Doctor,Alanis Morissette & Glenn Ballard,"227,631","7,604,601",0.99,1,Rock,1,MPEG audio file,14,0.99,1,0.99,4,2009-01-06 00:00:00,"8210 111 ST NW",Edmonto,Canada,T6G 2C7,AB,8.91,14,Mark,Philips,Telus,"8210 111 ST NW",Edmonto,AB,Canada,T6G 2C7,+1 (780) 434-4554,+1 (780) 434-5565,mphilips12@shaw.ca,Steve,Johnso,Sales Support Agent,2,1965-03-03 00:00:00,2003-10-17 00:00:00,"7727B 41 Ave",Calgary,AB,Canada,T3B 1Y7,"1 (780) 836-9987","1 (780) 836-9543",
10,Audioslave,8,Audioslave,90,Set It Off,Audioslave/Chris Cornell,"263,262","6,321,091",0.99,1,Rock,1,MPEG audio file,21,0.99,1,0.99,4,2009-01-06 00:00:00,"8210 111 ST NW",Edmonto,Canada,T6G 2C7,AB,8.91,14,Mark,Philips,Telus,"8210 111 ST NW",Edmonto,AB,Canada,T6G 2C7,+1 (780) 434-4554,+1 (780) 434-5565,mphilips12@shaw.ca,Steve,Johnso,Sales Support Agent,2,1965-03-03 00:00:00,2003-10-17 00:00:00,"7727B 41 Ave",Calgary,AB,Canada,T3B 1Y7,"1 (780) 836-9987","1 (780) 836-9543",
9,Plays Metallica By Four Cellos,7,Apocalyptica,84,Welcome Home (Sanitarium),Apocalyptica,"350,197","11,406,431",0.99,3,Metal,1,MPEG audio file,20,0.99,1,0.99,4,2009-01-06 00:00:00,"8210 111 ST NW",Edmonto,Canada,T6G 2C7,AB,8.91,14,Mark,Philips,Telus,"8210 111 ST NW",Edmonto,AB,Canada,T6G 2C7,+1 (780) 434-4554,+1 (780) 434-5565,mphilips12@shaw.ca,Steve,Johnso,Sales Support Agent,2,1965-03-03 00:00:00,2003-10-17 00:00:00,"7727B 41 Ave",Calgary,AB,Canada,T3B 1Y7,"1 (780) 836-9987","1 (780) 836-9543",
9,Plays Metallica By Four Cellos,7,Apocalyptica,78,Master Of Puppets,Apocalyptica,"436,453","14,375,310",0.99,3,Metal,1,MPEG audio file,19,0.99,1,0.99,4,2009-01-06 00:00:00,"8210 111 ST NW",Edmonto,Canada,T6G 2C7,AB,8.91,14,Mark,Philips,Telus,"8210 111 ST NW",Edmonto,AB,Canada,T6G 2C7,+1 (780) 434-4554,+1 (780) 434-5565,mphilips12@shaw.ca,Steve,Johnso,Sales Support Agent,2,1965-03-03 00:00:00,2003-10-17 00:00:00,"7727B 41 Ave",Calgary,AB,Canada,T3B 1Y7,"1 (780) 836-9987","1 (780) 836-9543",
8,Warner 25 Anos,6,Antanio Carlos Jobim,72,Angela,,"169,508","5,574,957",0.99,2,Jazz,1,MPEG audio file,18,0.99,1,0.99,4,2009-01-06 00:00:00,"8210 111 ST NW",Edmonto,Canada,T6G 2C7,AB,8.91,14,Mark,Philips,Telus,"8210 111 ST NW",Edmonto,AB,Canada,T6G 2C7,+1 (780) 434-4554,+1 (780) 434-5565,mphilips12@shaw.ca,Steve,Johnso,Sales Support Agent,2,1965-03-03 00:00:00,2003-10-17 00:00:00,"7727B 41 Ave",Calgary,AB,Canada,T3B 1Y7,"1 (780) 836-9987","1 (780) 836-9543",
6,Jagged Little Pill,4,Alanis Morissette,42,Right Through You,Alanis Morissette & Glenn Ballard,"176,117","5,793,082",0.99,1,Rock,1,MPEG audio file,13,0.99,1,0.99,4,2009-01-06 00:00:00,"8210 111 ST NW",Edmonto,Canada,T6G 2C7,AB,8.91,14,Mark,Philips,Telus,"8210 111 ST NW",Edmonto,AB,Canada,T6G 2C7,+1 (780) 434-4554,+1 (780) 434-5565,mphilips12@shaw.ca,Steve,Johnso,Sales Support Agent,2,1965-03-03 00:00:00,2003-10-17 00:00:00,"7727B 41 Ave",Calgary,AB,Canada,T3B 1Y7,"1 (780) 836-9987","1 (780) 836-9543",
8,Warner 25 Anos,6,Antanio Carlos Jobim,66,Por Causa De Voca,,"169,900","5,536,496",0.99,2,Jazz,1,MPEG audio file,17,0.99,1,0.99,4,2009-01-06 00:00:00,"8210 111 ST NW",Edmonto,Canada,T6G 2C7,AB,8.91,14,Mark,Philips,Telus,"8210 111 ST NW",Edmonto,AB,Canada,T6G 2C7,+1 (780) 434-4554,+1 (780) 434-5565,mphilips12@shaw.ca,Steve,Johnso,Sales Support Agent,2,1965-03-03 00:00:00,2003-10-17 00:00:00,"7727B 41 Ave",Calgary,AB,Canada,T3B 1Y7,"1 (780) 836-9987","1 (780) 836-9543",
7,Facelift,5,Alice In Chains,60,Confusio,"Jerry Cantrell, Michael Starr, Layne Staley","344,163","11,183,647",0.99,1,Rock,1,MPEG audio file,16,0.99,1,0.99,4,2009-01-06 00:00:00,"8210 111 ST NW",Edmonto,Canada,T6G 2C7,AB,8.91,14,Mark,Philips,Telus,"8210 111 ST NW",Edmonto,AB,Canada,T6G 2C7,+1 (780) 434-4554,+1 (780) 434-5565,mphilips12@shaw.ca,Steve,Johnso,Sales Support Agent,2,1965-03-03 00:00:00,2003-10-17 00:00:00,"7727B 41 Ave",Calgary,AB,Canada,T3B 1Y7,"1 (780) 836-9987","1 (780) 836-9543",
7,Facelift,5,Alice In Chains,54,Bleed The Freak,Jerry Cantrell,"241,946","7,847,716",0.99,1,Rock,1,MPEG audio file,15,0.99,1,0.99,4,2009-01-06 00:00:00,"8210 111 ST NW",Edmonto,Canada,T6G 2C7,AB,8.91,14,Mark,Philips,Telus,"8210 111 ST NW",Edmonto,AB,Canada,T6G 2C7,+1 (780) 434-4554,+1 (780) 434-5565,mphilips12@shaw.ca,Steve,Johnso,Sales Support Agent,2,1965-03-03 00:00:00,2003-10-17 00:00:00,"7727B 41 Ave",Calgary,AB,Canada,T3B 1Y7,"1 (780) 836-9987","1 (780) 836-9543",
20,The Best Of Buddy Guy - The Millenium Collectio,15,Buddy Guy,198,When My Left Eye Jumps,Al Perkins/Willie Dixo,"235,311","7,685,363",0.99,6,Blues,1,MPEG audio file,33,0.99,1,0.99,5,2009-01-11 00:00:00,"69 Salem Street",Bosto,USA,"2113",MA,13.86,23,Joh,Gordo,,"69 Salem Street",Bosto,MA,USA,"2113",+1 (617) 522-1333,,johngordon22@yahoo.com,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
12,BackBeat Soundtrack,9,BackBeat,117,Rock '' Roll Music,Chuck Berry,"141,923","2,276,788",0.99,5,Rock And Roll,1,MPEG audio file,24,0.99,1,0.99,5,2009-01-11 00:00:00,"69 Salem Street",Bosto,USA,"2113",MA,13.86,23,Joh,Gordo,,"69 Salem Street",Bosto,MA,USA,"2113",+1 (617) 522-1333,,johngordon22@yahoo.com,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
11,Out Of Exile,8,Audioslave,108,Dandelio,"Cornell, Commerford, Morello, Wilk","278,125","9,003,592",0.99,4,Alternative & Punk,1,MPEG audio file,23,0.99,1,0.99,5,2009-01-11 00:00:00,"69 Salem Street",Bosto,USA,"2113",MA,13.86,23,Joh,Gordo,,"69 Salem Street",Bosto,MA,USA,"2113",+1 (617) 522-1333,,johngordon22@yahoo.com,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
21,Prenda Minha,16,Caetano Veloso,207,Meditaaao,Tom Jobim - Newton Mendoaa,"148,793","4,865,597",0.99,7,Lati,1,MPEG audio file,34,0.99,1,0.99,5,2009-01-11 00:00:00,"69 Salem Street",Bosto,USA,"2113",MA,13.86,23,Joh,Gordo,,"69 Salem Street",Bosto,MA,USA,"2113",+1 (617) 522-1333,,johngordon22@yahoo.com,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
11,Out Of Exile,8,Audioslave,99,Your Time Has Come,"Cornell, Commerford, Morello, Wilk","255,529","8,273,592",0.99,4,Alternative & Punk,1,MPEG audio file,22,0.99,1,0.99,5,2009-01-11 00:00:00,"69 Salem Street",Bosto,USA,"2113",MA,13.86,23,Joh,Gordo,,"69 Salem Street",Bosto,MA,USA,"2113",+1 (617) 522-1333,,johngordon22@yahoo.com,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
14,Alcohol Fueled Brewtality Live! [Disc 1],11,Black Label Society,135,Super Terrorizer,,"319,373","10,513,905",0.99,3,Metal,1,MPEG audio file,26,0.99,1,0.99,5,2009-01-11 00:00:00,"69 Salem Street",Bosto,USA,"2113",MA,13.86,23,Joh,Gordo,,"69 Salem Street",Bosto,MA,USA,"2113",+1 (617) 522-1333,,johngordon22@yahoo.com,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
19,Chemical Wedding,14,Bruce Dickinso,189,Jerusalem,Roy Z,"402,390","13,194,463",0.99,3,Metal,1,MPEG audio file,32,0.99,1,0.99,5,2009-01-11 00:00:00,"69 Salem Street",Bosto,USA,"2113",MA,13.86,23,Joh,Gordo,,"69 Salem Street",Bosto,MA,USA,"2113",+1 (617) 522-1333,,johngordon22@yahoo.com,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
13,The Best Of Billy Cobham,10,Billy Cobham,126,Moon germs,Billy Cobham,"294,060","9,714,812",0.99,2,Jazz,1,MPEG audio file,25,0.99,1,0.99,5,2009-01-11 00:00:00,"69 Salem Street",Bosto,USA,"2113",MA,13.86,23,Joh,Gordo,,"69 Salem Street",Bosto,MA,USA,"2113",+1 (617) 522-1333,,johngordon22@yahoo.com,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
21,Prenda Minha,16,Caetano Veloso,216,Esse Cara,Caetano Veloso,"223,111","7,217,126",0.99,7,Lati,1,MPEG audio file,35,0.99,1,0.99,5,2009-01-11 00:00:00,"69 Salem Street",Bosto,USA,"2113",MA,13.86,23,Joh,Gordo,,"69 Salem Street",Bosto,MA,USA,"2113",+1 (617) 522-1333,,johngordon22@yahoo.com,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
18,Body Count,13,Body Count,171,Bowels Of The Devil,,"223,216","7,324,125",0.99,4,Alternative & Punk,1,MPEG audio file,30,0.99,1,0.99,5,2009-01-11 00:00:00,"69 Salem Street",Bosto,USA,"2113",MA,13.86,23,Joh,Gordo,,"69 Salem Street",Bosto,MA,USA,"2113",+1 (617) 522-1333,,johngordon22@yahoo.com,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
17,Black Sabbath Vol. 4 (Remaster),12,Black Sabbath,162,Cornucopia,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne","234,814","7,653,880",0.99,3,Metal,1,MPEG audio file,29,0.99,1,0.99,5,2009-01-11 00:00:00,"69 Salem Street",Bosto,USA,"2113",MA,13.86,23,Joh,Gordo,,"69 Salem Street",Bosto,MA,USA,"2113",+1 (617) 522-1333,,johngordon22@yahoo.com,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
16,Black Sabbath,12,Black Sabbath,153,Evil Woma,,"204,930","6,655,170",0.99,3,Metal,1,MPEG audio file,28,0.99,1,0.99,5,2009-01-11 00:00:00,"69 Salem Street",Bosto,USA,"2113",MA,13.86,23,Joh,Gordo,,"69 Salem Street",Bosto,MA,USA,"2113",+1 (617) 522-1333,,johngordon22@yahoo.com,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
18,Body Count,13,Body Count,180,Body Count Anthem,,"166,426","5,463,690",0.99,4,Alternative & Punk,1,MPEG audio file,31,0.99,1,0.99,5,2009-01-11 00:00:00,"69 Salem Street",Bosto,USA,"2113",MA,13.86,23,Joh,Gordo,,"69 Salem Street",Bosto,MA,USA,"2113",+1 (617) 522-1333,,johngordon22@yahoo.com,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
15,Alcohol Fueled Brewtality Live! [Disc 2],11,Black Label Society,144,Heart Of Gold,,"194,873","6,417,460",0.99,3,Metal,1,MPEG audio file,27,0.99,1,0.99,5,2009-01-11 00:00:00,"69 Salem Street",Bosto,USA,"2113",MA,13.86,23,Joh,Gordo,,"69 Salem Street",Bosto,MA,USA,"2113",+1 (617) 522-1333,,johngordon22@yahoo.com,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
23,Minha Historia,17,Chico Buarque,230,"Bye, Bye Brasil",,"283,402","9,499,590",0.99,7,Lati,1,MPEG audio file,36,0.99,1,0.99,6,2009-01-19 00:00:00,Berger Straae 10,Frankfurt,Germany,"60316",,0.99,37,Fyn,Zimmerman,,Berger Straae 10,Frankfurt,,Germany,"60316",+49 069 40598889,,fzimmermann@yahoo.de,Jane,Peacock,Sales Support Agent,2,1973-08-29 00:00:00,2002-04-01 00:00:00,"1111 6 Ave SW",Calgary,AB,Canada,T2P 5M5,+1 (403) 262-3443,+1 (403) 262-6712,
23,Minha Historia,17,Chico Buarque,231,Atras Da Porta,,"189,675","6,132,843",0.99,7,Lati,1,MPEG audio file,37,0.99,1,0.99,7,2009-02-01 00:00:00,Barbarossastraae 19,Berli,Germany,"10779",,1.98,38,Niklas,Schrader,,Barbarossastraae 19,Berli,,Germany,"10779",+49 030 2141444,,nschroder@surfeu.de,Jane,Peacock,Sales Support Agent,2,1973-08-29 00:00:00,2002-04-01 00:00:00,"1111 6 Ave SW",Calgary,AB,Canada,T2P 5M5,+1 (403) 262-3443,+1 (403) 262-6712,
23,Minha Historia,17,Chico Buarque,232,Tatuagem,,"172,120","5,645,703",0.99,7,Lati,1,MPEG audio file,38,0.99,1,0.99,7,2009-02-01 00:00:00,Barbarossastraae 19,Berli,Germany,"10779",,1.98,38,Niklas,Schrader,,Barbarossastraae 19,Berli,,Germany,"10779",+49 030 2141444,,nschroder@surfeu.de,Jane,Peacock,Sales Support Agent,2,1973-08-29 00:00:00,2002-04-01 00:00:00,"1111 6 Ave SW",Calgary,AB,Canada,T2P 5M5,+1 (403) 262-3443,+1 (403) 262-6712,
23,Minha Historia,17,Chico Buarque,234,Morena De Angola,,"186,801","6,373,932",0.99,7,Lati,1,MPEG audio file,39,0.99,1,0.99,8,2009-02-01 00:00:00,"8, Rue Hanovre",Paris,France,"75002",,1.98,40,Dominique,Lefebvre,,"8, Rue Hanovre",Paris,,France,"75002",+33 01 47 42 71 71,,dominiquelefebvre@gmail.com,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
23,Minha Historia,17,Chico Buarque,236,A Banda,,"132,493","4,349,539",0.99,7,Lati,1,MPEG audio file,40,0.99,1,0.99,8,2009-02-01 00:00:00,"8, Rue Hanovre",Paris,France,"75002",,1.98,40,Dominique,Lefebvre,,"8, Rue Hanovre",Paris,,France,"75002",+33 01 47 42 71 71,,dominiquelefebvre@gmail.com,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
23,Minha Historia,17,Chico Buarque,240,Meu Caro Amigo,,"260,257","8,778,172",0.99,7,Lati,1,MPEG audio file,42,0.99,1,0.99,9,2009-02-02 00:00:00,"9, Place Louis Barthou",Bordeaux,France,"33000",,3.96,42,Wyatt,Girard,,"9, Place Louis Barthou",Bordeaux,,France,"33000",+33 05 56 96 96 96,,wyatt.girard@yahoo.fr,Jane,Peacock,Sales Support Agent,2,1973-08-29 00:00:00,2002-04-01 00:00:00,"1111 6 Ave SW",Calgary,AB,Canada,T2P 5M5,+1 (403) 262-3443,+1 (403) 262-6712,
23,Minha Historia,17,Chico Buarque,238,Com Aaacar E Com Afeto,,"175,386","5,846,442",0.99,7,Lati,1,MPEG audio file,41,0.99,1,0.99,9,2009-02-02 00:00:00,"9, Place Louis Barthou",Bordeaux,France,"33000",,3.96,42,Wyatt,Girard,,"9, Place Louis Barthou",Bordeaux,,France,"33000",+33 05 56 96 96 96,,wyatt.girard@yahoo.fr,Jane,Peacock,Sales Support Agent,2,1973-08-29 00:00:00,2002-04-01 00:00:00,"1111 6 Ave SW",Calgary,AB,Canada,T2P 5M5,+1 (403) 262-3443,+1 (403) 262-6712,
23,Minha Historia,17,Chico Buarque,242,Trocando Em Miados,,"169,717","5,461,468",0.99,7,Lati,1,MPEG audio file,43,0.99,1,0.99,9,2009-02-02 00:00:00,"9, Place Louis Barthou",Bordeaux,France,"33000",,3.96,42,Wyatt,Girard,,"9, Place Louis Barthou",Bordeaux,,France,"33000",+33 05 56 96 96 96,,wyatt.girard@yahoo.fr,Jane,Peacock,Sales Support Agent,2,1973-08-29 00:00:00,2002-04-01 00:00:00,"1111 6 Ave SW",Calgary,AB,Canada,T2P 5M5,+1 (403) 262-3443,+1 (403) 262-6712,
23,Minha Historia,17,Chico Buarque,244,Gota D'agua,,"153,208","5,074,189",0.99,7,Lati,1,MPEG audio file,44,0.99,1,0.99,9,2009-02-02 00:00:00,"9, Place Louis Barthou",Bordeaux,France,"33000",,3.96,42,Wyatt,Girard,,"9, Place Louis Barthou",Bordeaux,,France,"33000",+33 05 56 96 96 96,,wyatt.girard@yahoo.fr,Jane,Peacock,Sales Support Agent,2,1973-08-29 00:00:00,2002-04-01 00:00:00,"1111 6 Ave SW",Calgary,AB,Canada,T2P 5M5,+1 (403) 262-3443,+1 (403) 262-6712,
